Year,Bank,Sector,Region,USDmillions
2017,HSBC,Timber,Central & West Africa,13.779188999999999
2019,HSBC,Timber,Central & West Africa,2.288385
2018,HSBC,Timber,Central & West Africa,3.69405
2015,HSBC,Timber,Central & West Africa,9.934014
2016,HSBC,Timber,Central & West Africa,7.392621
2020,HSBC,Timber,Central & West Africa,0
2013,HSBC,Timber,Central & West Africa,10.958658
2014,HSBC,Timber,Central & West Africa,57.301901
2021,HSBC,Timber,Central & West Africa,29.816967000000002
2017,China Securities Investor Protection Fund Corporation,Timber,Central & West Africa,0
2019,China Securities Investor Protection Fund Corporation,Timber,Central & West Africa,0
2018,China Securities Investor Protection Fund Corporation,Timber,Central & West Africa,0
2015,China Securities Investor Protection Fund Corporation,Timber,Central & West Africa,24.56873
2016,China Securities Investor Protection Fund Corporation,Timber,Central & West Africa,55.026157
2020,China Securities Investor Protection Fund Corporation,Timber,Central & West Africa,0
2013,China Securities Investor Protection Fund Corporation,Timber,Central & West Africa,0
2014,China Securities Investor Protection Fund Corporation,Timber,Central & West Africa,24.579281
2021,China Securities Investor Protection Fund Corporation,Timber,Central & West Africa,0
2017,JPMorgan Chase,Timber,Central & West Africa,5.98357
2019,JPMorgan Chase,Timber,Central & West Africa,1.780017
2018,JPMorgan Chase,Timber,Central & West Africa,3.0987359999999997
2015,JPMorgan Chase,Timber,Central & West Africa,4.4032729999999995
2016,JPMorgan Chase,Timber,Central & West Africa,4.389815
2020,JPMorgan Chase,Timber,Central & West Africa,0
2013,JPMorgan Chase,Timber,Central & West Africa,10.958658
2014,JPMorgan Chase,Timber,Central & West Africa,34.204381999999995
2021,JPMorgan Chase,Timber,Central & West Africa,27.557347
2017,DBS,Timber,Central & West Africa,12.015329999999999
2019,DBS,Timber,Central & West Africa,2.288385
2018,DBS,Timber,Central & West Africa,3.69405
2015,DBS,Timber,Central & West Africa,3.557903
2016,DBS,Timber,Central & West Africa,13.911613000000001
2020,DBS,Timber,Central & West Africa,1.271442
2013,DBS,Timber,Central & West Africa,7.171309
2014,DBS,Timber,Central & West Africa,43.330739
2021,DBS,Timber,Central & West Africa,1.073662
2017,Standard Chartered,Timber,Central & West Africa,12.015329999999999
2019,Standard Chartered,Timber,Central & West Africa,2.288934
2018,Standard Chartered,Timber,Central & West Africa,3.69405
2015,Standard Chartered,Timber,Central & West Africa,5.078272999999999
2016,Standard Chartered,Timber,Central & West Africa,9.394492
2020,Standard Chartered,Timber,Central & West Africa,1.271442
2013,Standard Chartered,Timber,Central & West Africa,3.787349
2014,Standard Chartered,Timber,Central & West Africa,35.541049
2021,Standard Chartered,Timber,Central & West Africa,1.073662
2017,ANZ,Timber,Central & West Africa,4.26021
2019,ANZ,Timber,Central & West Africa,1.525964
2018,ANZ,Timber,Central & West Africa,3.69405
2015,ANZ,Timber,Central & West Africa,4.814702
2016,ANZ,Timber,Central & West Africa,4.389815
2020,ANZ,Timber,Central & West Africa,1.271442
2013,ANZ,Timber,Central & West Africa,0
2014,ANZ,Timber,Central & West Africa,47.456468
2021,ANZ,Timber,Central & West Africa,1.073662
2017,Bank of Nanjing,Timber,Central & West Africa,0
2019,Bank of Nanjing,Timber,Central & West Africa,0
2018,Bank of Nanjing,Timber,Central & West Africa,62.721968
2015,Bank of Nanjing,Timber,Central & West Africa,0
2016,Bank of Nanjing,Timber,Central & West Africa,0
2020,Bank of Nanjing,Timber,Central & West Africa,0
2013,Bank of Nanjing,Timber,Central & West Africa,0
2014,Bank of Nanjing,Timber,Central & West Africa,0
2021,Bank of Nanjing,Timber,Central & West Africa,0
2017,Mitsubishi UFJ Financial,Timber,Central & West Africa,5.759
2019,Mitsubishi UFJ Financial,Timber,Central & West Africa,0.762864
2018,Mitsubishi UFJ Financial,Timber,Central & West Africa,6.436928
2015,Mitsubishi UFJ Financial,Timber,Central & West Africa,1.5014029999999998
2016,Mitsubishi UFJ Financial,Timber,Central & West Africa,4.389815
2020,Mitsubishi UFJ Financial,Timber,Central & West Africa,0
2013,Mitsubishi UFJ Financial,Timber,Central & West Africa,0
2014,Mitsubishi UFJ Financial,Timber,Central & West Africa,10.53
2021,Mitsubishi UFJ Financial,Timber,Central & West Africa,27.521092
2017,Rabobank,Timber,Central & West Africa,7.247367
2019,Rabobank,Timber,Central & West Africa,3.204268
2018,Rabobank,Timber,Central & West Africa,0.595314
2015,Rabobank,Timber,Central & West Africa,6.674702
2016,Rabobank,Timber,Central & West Africa,8.143323
2020,Rabobank,Timber,Central & West Africa,1.271442
2013,Rabobank,Timber,Central & West Africa,0
2014,Rabobank,Timber,Central & West Africa,27.317536
2021,Rabobank,Timber,Central & West Africa,1.073662
2017,BPCE Group,Timber,Central & West Africa,4.26021
2019,BPCE Group,Timber,Central & West Africa,1.780017
2018,BPCE Group,Timber,Central & West Africa,2.103444
2015,BPCE Group,Timber,Central & West Africa,3.5032729999999996
2016,BPCE Group,Timber,Central & West Africa,4.389815
2020,BPCE Group,Timber,Central & West Africa,0
2013,BPCE Group,Timber,Central & West Africa,1.912349
2014,BPCE Group,Timber,Central & West Africa,31.371049
2021,BPCE Group,Timber,Central & West Africa,0
2017,JPMorgan Chase,Pulp & paper,Latin America,669.001275
2019,JPMorgan Chase,Pulp & paper,Latin America,753.707218
2015,JPMorgan Chase,Pulp & paper,Latin America,47.356311999999996
2014,JPMorgan Chase,Pulp & paper,Latin America,67.317897
2018,JPMorgan Chase,Pulp & paper,Latin America,2510.425344
2013,JPMorgan Chase,Pulp & paper,Latin America,86.47645899999999
2016,JPMorgan Chase,Pulp & paper,Latin America,604.032242
2020,JPMorgan Chase,Pulp & paper,Latin America,123.690147
2021,JPMorgan Chase,Pulp & paper,Latin America,346.058514
2017,BNP Paribas,Pulp & paper,Latin America,382.976824
2019,BNP Paribas,Pulp & paper,Latin America,614.008908
2015,BNP Paribas,Pulp & paper,Latin America,467.760598
2014,BNP Paribas,Pulp & paper,Latin America,289.484957
2018,BNP Paribas,Pulp & paper,Latin America,2963.292759
2013,BNP Paribas,Pulp & paper,Latin America,2.440508
2016,BNP Paribas,Pulp & paper,Latin America,0
2020,BNP Paribas,Pulp & paper,Latin America,98.492818
2021,BNP Paribas,Pulp & paper,Latin America,336.58128500000004
2017,Rabobank,Pulp & paper,Latin America,69.451499
2019,Rabobank,Pulp & paper,Latin America,424.113404
2015,Rabobank,Pulp & paper,Latin America,195.391278
2014,Rabobank,Pulp & paper,Latin America,40.823548
2018,Rabobank,Pulp & paper,Latin America,2963.455046
2013,Rabobank,Pulp & paper,Latin America,10.497945
2016,Rabobank,Pulp & paper,Latin America,0.658258
2020,Rabobank,Pulp & paper,Latin America,114.205255
2021,Rabobank,Pulp & paper,Latin America,425.605227
2017,BNDES,Pulp & paper,Latin America,517.901784
2019,BNDES,Pulp & paper,Latin America,12.425038
2015,BNDES,Pulp & paper,Latin America,1015.7253059999999
2014,BNDES,Pulp & paper,Latin America,112.620554
2018,BNDES,Pulp & paper,Latin America,60.195567999999994
2013,BNDES,Pulp & paper,Latin America,209.821308
2016,BNDES,Pulp & paper,Latin America,685.0039479999999
2020,BNDES,Pulp & paper,Latin America,65.124303
2021,BNDES,Pulp & paper,Latin America,1416.691175
2017,Mizuho Financial,Pulp & paper,Latin America,398.988658
2019,Mizuho Financial,Pulp & paper,Latin America,1065.923058
2015,Mizuho Financial,Pulp & paper,Latin America,83.74774599999999
2014,Mizuho Financial,Pulp & paper,Latin America,16.574859
2018,Mizuho Financial,Pulp & paper,Latin America,1014.0676540000001
2013,Mizuho Financial,Pulp & paper,Latin America,41.288316
2016,Mizuho Financial,Pulp & paper,Latin America,5.671157
2020,Mizuho Financial,Pulp & paper,Latin America,98.461
2021,Mizuho Financial,Pulp & paper,Latin America,341.52513500000003
2017,Bank of America,Pulp & paper,Latin America,520.574634
2019,Bank of America,Pulp & paper,Latin America,856.686701
2015,Bank of America,Pulp & paper,Latin America,45.391278
2014,Bank of America,Pulp & paper,Latin America,40.754333
2018,Bank of America,Pulp & paper,Latin America,500.470711
2013,Bank of America,Pulp & paper,Latin America,0
2016,Bank of America,Pulp & paper,Latin America,87.5
2020,Bank of America,Pulp & paper,Latin America,125.97543200000001
2021,Bank of America,Pulp & paper,Latin America,329.797026
2017,Bradesco,Pulp & paper,Latin America,84.953257
2019,Bradesco,Pulp & paper,Latin America,328.133885
2015,Bradesco,Pulp & paper,Latin America,1.612259
2014,Bradesco,Pulp & paper,Latin America,137.445292
2018,Bradesco,Pulp & paper,Latin America,1222.6829269999998
2013,Bradesco,Pulp & paper,Latin America,161.212076
2016,Bradesco,Pulp & paper,Latin America,181.26614
2020,Bradesco,Pulp & paper,Latin America,39.061186
2021,Bradesco,Pulp & paper,Latin America,148.841845
2017,Scotiabank,Pulp & paper,Latin America,294.880571
2019,Scotiabank,Pulp & paper,Latin America,979.4727809999999
2015,Scotiabank,Pulp & paper,Latin America,45.391278
2014,Scotiabank,Pulp & paper,Latin America,40.754333
2018,Scotiabank,Pulp & paper,Latin America,420.719138
2013,Scotiabank,Pulp & paper,Latin America,0
2016,Scotiabank,Pulp & paper,Latin America,0
2020,Scotiabank,Pulp & paper,Latin America,116.175715
2021,Scotiabank,Pulp & paper,Latin America,256.572404
2017,Banco do Brasil,Pulp & paper,Latin America,149.08705
2019,Banco do Brasil,Pulp & paper,Latin America,1480.855675
2015,Banco do Brasil,Pulp & paper,Latin America,0.067698
2014,Banco do Brasil,Pulp & paper,Latin America,13.011247
2018,Banco do Brasil,Pulp & paper,Latin America,15.039064
2013,Banco do Brasil,Pulp & paper,Latin America,17.424844
2016,Banco do Brasil,Pulp & paper,Latin America,267.4904
2020,Banco do Brasil,Pulp & paper,Latin America,14.583582
2021,Banco do Brasil,Pulp & paper,Latin America,60.633674
2017,SMBC Group,Pulp & paper,Latin America,70.766919
2019,SMBC Group,Pulp & paper,Latin America,302.244593
2015,SMBC Group,Pulp & paper,Latin America,141.16946000000002
2014,SMBC Group,Pulp & paper,Latin America,47.528374
2018,SMBC Group,Pulp & paper,Latin America,581.21162
2013,SMBC Group,Pulp & paper,Latin America,187.31907
2016,SMBC Group,Pulp & paper,Latin America,51.04041
2020,SMBC Group,Pulp & paper,Latin America,113.461
2021,SMBC Group,Pulp & paper,Latin America,242.69663500000001
2017,Banco do Brasil,Timber,Latin America,43.28783
2019,Banco do Brasil,Timber,Latin America,4.626877
2013,Banco do Brasil,Timber,Latin America,279.085289
2015,Banco do Brasil,Timber,Latin America,60.634436
2018,Banco do Brasil,Timber,Latin America,9.66846
2016,Banco do Brasil,Timber,Latin America,82.746092
2020,Banco do Brasil,Timber,Latin America,1.513281
2014,Banco do Brasil,Timber,Latin America,310.01392500000003
2021,Banco do Brasil,Timber,Latin America,0.185854
2017,Bradesco,Timber,Latin America,12.195976
2019,Bradesco,Timber,Latin America,40.253464
2013,Bradesco,Timber,Latin America,118.129088
2015,Bradesco,Timber,Latin America,19.371559
2018,Bradesco,Timber,Latin America,16.231077
2016,Bradesco,Timber,Latin America,47.381285
2020,Bradesco,Timber,Latin America,13.172649
2014,Bradesco,Timber,Latin America,103.301045
2021,Bradesco,Timber,Latin America,16.406515
2017,Itaú Unibanco,Timber,Latin America,16.036374
2019,Itaú Unibanco,Timber,Latin America,30.809974
2013,Itaú Unibanco,Timber,Latin America,88.481018
2015,Itaú Unibanco,Timber,Latin America,23.680879
2018,Itaú Unibanco,Timber,Latin America,9.823006
2016,Itaú Unibanco,Timber,Latin America,40.149503
2020,Itaú Unibanco,Timber,Latin America,7.732793
2014,Itaú Unibanco,Timber,Latin America,78.726265
2021,Itaú Unibanco,Timber,Latin America,14.583283
2017,Santander,Timber,Latin America,14.920782
2019,Santander,Timber,Latin America,31.618325000000002
2013,Santander,Timber,Latin America,46.472329
2015,Santander,Timber,Latin America,15.082194
2018,Santander,Timber,Latin America,41.473757
2016,Santander,Timber,Latin America,23.761683
2020,Santander,Timber,Latin America,2.743801
2014,Santander,Timber,Latin America,35.421364
2021,Santander,Timber,Latin America,0.097752
2017,SMBC Group,Timber,Latin America,7.348891
2019,SMBC Group,Timber,Latin America,28.351179000000002
2013,SMBC Group,Timber,Latin America,37.768570000000004
2015,SMBC Group,Timber,Latin America,20.212919
2018,SMBC Group,Timber,Latin America,83.795614
2016,SMBC Group,Timber,Latin America,10.85566
2020,SMBC Group,Timber,Latin America,0
2014,SMBC Group,Timber,Latin America,14.844252
2021,SMBC Group,Timber,Latin America,6.522458
2017,HSBC,Timber,Latin America,0
2019,HSBC,Timber,Latin America,28.144025
2013,HSBC,Timber,Latin America,12.858335
2015,HSBC,Timber,Latin America,5.822476
2018,HSBC,Timber,Latin America,68.520377
2016,HSBC,Timber,Latin America,2.22587
2020,HSBC,Timber,Latin America,5.822902
2014,HSBC,Timber,Latin America,11.083581
2021,HSBC,Timber,Latin America,0.111693
2017,Mizuho Financial,Timber,Latin America,0.816543
2019,Mizuho Financial,Timber,Latin America,23.578398
2013,Mizuho Financial,Timber,Latin America,8.324836
2015,Mizuho Financial,Timber,Latin America,4.243847
2018,Mizuho Financial,Timber,Latin America,72.206565
2016,Mizuho Financial,Timber,Latin America,1.206184
2020,Mizuho Financial,Timber,Latin America,0
2014,Mizuho Financial,Timber,Latin America,1.649361
2021,Mizuho Financial,Timber,Latin America,7.99452
2017,Citigroup,Timber,Latin America,1.133218
2019,Citigroup,Timber,Latin America,19.50418
2013,Citigroup,Timber,Latin America,3.434486
2015,Citigroup,Timber,Latin America,2.0985419999999997
2018,Citigroup,Timber,Latin America,69.173717
2016,Citigroup,Timber,Latin America,3.065324
2020,Citigroup,Timber,Latin America,0.014949
2014,Citigroup,Timber,Latin America,6.102373
2021,Citigroup,Timber,Latin America,14.559605000000001
2017,Caixa Econômica Federal,Timber,Latin America,10.154018
2019,Caixa Econômica Federal,Timber,Latin America,0.639195
2013,Caixa Econômica Federal,Timber,Latin America,41.161453
2015,Caixa Econômica Federal,Timber,Latin America,9.664285
2018,Caixa Econômica Federal,Timber,Latin America,2.8442279999999998
2016,Caixa Econômica Federal,Timber,Latin America,7.664481
2020,Caixa Econômica Federal,Timber,Latin America,0.148126
2014,Caixa Econômica Federal,Timber,Latin America,36.599054
2021,Caixa Econômica Federal,Timber,Latin America,0.020679
2017,Scotiabank,Timber,Latin America,0
2019,Scotiabank,Timber,Latin America,19.409672
2013,Scotiabank,Timber,Latin America,0
2015,Scotiabank,Timber,Latin America,0
2018,Scotiabank,Timber,Latin America,68.520377
2016,Scotiabank,Timber,Latin America,0
2020,Scotiabank,Timber,Latin America,0
2014,Scotiabank,Timber,Latin America,0
2021,Scotiabank,Timber,Latin America,0.006181
2014,Banco do Brasil,Beef,Latin America,7467.393511
2015,Banco do Brasil,Beef,Latin America,4170.199424
2019,Banco do Brasil,Beef,Latin America,5352.79521
2013,Banco do Brasil,Beef,Latin America,7167.43094
2016,Banco do Brasil,Beef,Latin America,5595.734443
2017,Banco do Brasil,Beef,Latin America,6253.587713
2018,Banco do Brasil,Beef,Latin America,5474.5808369999995
2020,Banco do Brasil,Beef,Latin America,4693.587109
2021,Banco do Brasil,Beef,Latin America,4288.389256
2014,Bradesco,Beef,Latin America,1835.946894
2015,Bradesco,Beef,Latin America,701.308739
2019,Bradesco,Beef,Latin America,1051.125881
2013,Bradesco,Beef,Latin America,1878.123106
2016,Bradesco,Beef,Latin America,1127.984012
2017,Bradesco,Beef,Latin America,1047.492317
2018,Bradesco,Beef,Latin America,1025.890414
2020,Bradesco,Beef,Latin America,787.551239
2021,Bradesco,Beef,Latin America,832.5728300000001
2014,Santander,Beef,Latin America,772.620827
2015,Santander,Beef,Latin America,298.624714
2019,Santander,Beef,Latin America,767.677586
2013,Santander,Beef,Latin America,799.458179
2016,Santander,Beef,Latin America,621.430299
2017,Santander,Beef,Latin America,752.148541
2018,Santander,Beef,Latin America,731.239809
2020,Santander,Beef,Latin America,495.66833
2021,Santander,Beef,Latin America,565.777511
2014,Itaú Unibanco,Beef,Latin America,809.363433
2015,Itaú Unibanco,Beef,Latin America,507.09571
2019,Itaú Unibanco,Beef,Latin America,564.72254
2013,Itaú Unibanco,Beef,Latin America,684.602614
2016,Itaú Unibanco,Beef,Latin America,844.593494
2017,Itaú Unibanco,Beef,Latin America,719.239044
2018,Itaú Unibanco,Beef,Latin America,443.368993
2020,Itaú Unibanco,Beef,Latin America,493.772294
2021,Itaú Unibanco,Beef,Latin America,672.613646
2014,Banco da Amazonia,Beef,Latin America,633.379657
2015,Banco da Amazonia,Beef,Latin America,383.973871
2019,Banco da Amazonia,Beef,Latin America,596.605097
2013,Banco da Amazonia,Beef,Latin America,445.266182
2016,Banco da Amazonia,Beef,Latin America,339.041146
2017,Banco da Amazonia,Beef,Latin America,388.005289
2018,Banco da Amazonia,Beef,Latin America,429.565925
2020,Banco da Amazonia,Beef,Latin America,549.149073
2021,Banco da Amazonia,Beef,Latin America,561.985627
2014,Banco do Nordeste do Brasil,Beef,Latin America,470.134042
2015,Banco do Nordeste do Brasil,Beef,Latin America,345.223806
2019,Banco do Nordeste do Brasil,Beef,Latin America,523.740821
2013,Banco do Nordeste do Brasil,Beef,Latin America,518.185233
2016,Banco do Nordeste do Brasil,Beef,Latin America,422.99434
2017,Banco do Nordeste do Brasil,Beef,Latin America,480.773891
2018,Banco do Nordeste do Brasil,Beef,Latin America,475.451437
2020,Banco do Nordeste do Brasil,Beef,Latin America,464.392332
2021,Banco do Nordeste do Brasil,Beef,Latin America,380.397533
2014,Caixa Econômica Federal,Beef,Latin America,469.799583
2015,Caixa Econômica Federal,Beef,Latin America,361.72003
2019,Caixa Econômica Federal,Beef,Latin America,237.519657
2013,Caixa Econômica Federal,Beef,Latin America,219.145893
2016,Caixa Econômica Federal,Beef,Latin America,318.320229
2017,Caixa Econômica Federal,Beef,Latin America,380.743068
2018,Caixa Econômica Federal,Beef,Latin America,319.659018
2020,Caixa Econômica Federal,Beef,Latin America,347.986987
2021,Caixa Econômica Federal,Beef,Latin America,443.301577
2014,Rabobank,Beef,Latin America,393.129172
2015,Rabobank,Beef,Latin America,270.88446899999997
2019,Rabobank,Beef,Latin America,222.374835
2013,Rabobank,Beef,Latin America,450.64905
2016,Rabobank,Beef,Latin America,359.554266
2017,Rabobank,Beef,Latin America,343.346369
2018,Rabobank,Beef,Latin America,297.737553
2020,Rabobank,Beef,Latin America,167.172232
2021,Rabobank,Beef,Latin America,306.157947
2014,HSBC,Beef,Latin America,503.883676
2015,HSBC,Beef,Latin America,240.113156
2019,HSBC,Beef,Latin America,64.618959
2013,HSBC,Beef,Latin America,703.137718
2016,HSBC,Beef,Latin America,517.587007
2017,HSBC,Beef,Latin America,211.386726
2018,HSBC,Beef,Latin America,149.576306
2020,HSBC,Beef,Latin America,0.006167000000000001
2021,HSBC,Beef,Latin America,160.029052
2014,BTG Pactual,Beef,Latin America,377.623692
2015,BTG Pactual,Beef,Latin America,0
2019,BTG Pactual,Beef,Latin America,219.315708
2013,BTG Pactual,Beef,Latin America,371.915527
2016,BTG Pactual,Beef,Latin America,0
2017,BTG Pactual,Beef,Latin America,59.926182999999995
2018,BTG Pactual,Beef,Latin America,364.985282
2020,BTG Pactual,Beef,Latin America,125.139071
2021,BTG Pactual,Beef,Latin America,428.857588
2019,Bank of China,Soy,Southeast Asia,0.666548
2020,Bank of China,Soy,Southeast Asia,0.028762
2018,Bank of China,Soy,Southeast Asia,0.768969
2014,Bank of China,Soy,Southeast Asia,0.626621
2015,Bank of China,Soy,Southeast Asia,0.28702
2013,Bank of China,Soy,Southeast Asia,0.05241
